TimeStamp,ChargingStatus,CurrentLevel,_time
1666002669,1,76,2022-10-17 16:01:09+05:30
1666002668,1,76,2022-10-17 16:01:08+05:30
1666002667,1,76,2022-10-17 16:01:07+05:30
1666002666,1,76,2022-10-17 16:01:06+05:30
1666002665,1,76,2022-10-17 16:01:05+05:30
1666002664,1,76,2022-10-17 16:01:04+05:30
1666002663,1,76,2022-10-17 16:01:03+05:30
1666002662,1,76,2022-10-17 16:01:02+05:30
1666002661,1,76,2022-10-17 16:01:01+05:30
1666002660,1,76,2022-10-17 16:01:00+05:30
1666002659,1,76,2022-10-17 16:00:59+05:30
1666002658,1,76,2022-10-17 16:00:58+05:30
1666002657,1,76,2022-10-17 16:00:57+05:30
1666002656,1,76,2022-10-17 16:00:56+05:30
1666002655,1,76,2022-10-17 16:00:55+05:30
1666002654,1,76,2022-10-17 16:00:54+05:30
1666002653,1,76,2022-10-17 16:00:53+05:30
1666002652,1,76,2022-10-17 16:00:52+05:30
1666002651,1,76,2022-10-17 16:00:51+05:30
1666002650,1,76,2022-10-17 16:00:50+05:30
1666002649,1,76,2022-10-17 16:00:49+05:30
1666002648,1,76,2022-10-17 16:00:48+05:30
1666002647,1,76,2022-10-17 16:00:47+05:30
1666002646,1,76,2022-10-17 16:00:46+05:30
1666002645,1,76,2022-10-17 16:00:45+05:30
1666002644,1,76,2022-10-17 16:00:44+05:30
1666002643,1,76,2022-10-17 16:00:43+05:30
1666002642,1,76,2022-10-17 16:00:42+05:30
1666002641,1,76,2022-10-17 16:00:41+05:30
1666002640,1,76,2022-10-17 16:00:40+05:30
1666002639,1,76,2022-10-17 16:00:39+05:30
1666002638,1,76,2022-10-17 16:00:38+05:30
1666002637,1,76,2022-10-17 16:00:37+05:30
1666002636,1,76,2022-10-17 16:00:36+05:30
1666002634,1,76,2022-10-17 16:00:34+05:30
1666002633,1,76,2022-10-17 16:00:33+05:30
1666002632,1,76,2022-10-17 16:00:32+05:30
1666002631,1,76,2022-10-17 16:00:31+05:30
1666002630,1,76,2022-10-17 16:00:30+05:30
1666002629,1,76,2022-10-17 16:00:29+05:30
1666002628,1,76,2022-10-17 16:00:28+05:30
1666002627,1,76,2022-10-17 16:00:27+05:30
1666002626,1,76,2022-10-17 16:00:26+05:30
1666002625,1,76,2022-10-17 16:00:25+05:30
1666002624,1,76,2022-10-17 16:00:24+05:30
1666002623,1,76,2022-10-17 16:00:23+05:30
1666002622,1,76,2022-10-17 16:00:22+05:30
1666002621,1,76,2022-10-17 16:00:21+05:30
1666002620,1,76,2022-10-17 16:00:20+05:30
1666002619,1,76,2022-10-17 16:00:19+05:30
1666002618,1,76,2022-10-17 16:00:18+05:30
1666002617,1,76,2022-10-17 16:00:17+05:30
1666002616,1,76,2022-10-17 16:00:16+05:30
1666002615,1,76,2022-10-17 16:00:15+05:30
1666002614,1,76,2022-10-17 16:00:14+05:30
1666002613,1,76,2022-10-17 16:00:13+05:30
1666002612,1,76,2022-10-17 16:00:12+05:30
1666002611,1,76,2022-10-17 16:00:11+05:30
1666002610,1,76,2022-10-17 16:00:10+05:30
1666002609,1,76,2022-10-17 16:00:09+05:30
1666002608,1,76,2022-10-17 16:00:08+05:30
1666002607,1,76,2022-10-17 16:00:07+05:30
1666002606,1,76,2022-10-17 16:00:06+05:30
1666002605,1,76,2022-10-17 16:00:05+05:30
1666002604,1,76,2022-10-17 16:00:04+05:30
1666002603,1,76,2022-10-17 16:00:03+05:30
1666002602,1,76,2022-10-17 16:00:02+05:30
1666002601,1,76,2022-10-17 16:00:01+05:30
1666002600,1,76,2022-10-17 16:00:00+05:30
1666002599,1,76,2022-10-17 15:59:59+05:30
1666002598,1,76,2022-10-17 15:59:58+05:30
1666002597,1,76,2022-10-17 15:59:57+05:30
1666002596,1,76,2022-10-17 15:59:56+05:30
1666002595,1,76,2022-10-17 15:59:55+05:30
1666002594,1,76,2022-10-17 15:59:54+05:30
1666002593,1,76,2022-10-17 15:59:53+05:30
1666002592,1,76,2022-10-17 15:59:52+05:30
1666002591,1,76,2022-10-17 15:59:51+05:30
1666002589,1,76,2022-10-17 15:59:49+05:30
1666002588,1,76,2022-10-17 15:59:48+05:30
1666002587,1,76,2022-10-17 15:59:47+05:30
1666002586,1,76,2022-10-17 15:59:46+05:30
1666002585,1,76,2022-10-17 15:59:45+05:30
1666002584,1,76,2022-10-17 15:59:44+05:30
1666002583,1,76,2022-10-17 15:59:43+05:30
1666002582,1,76,2022-10-17 15:59:42+05:30
1666002581,1,76,2022-10-17 15:59:41+05:30
1666002580,1,76,2022-10-17 15:59:40+05:30
